YearQuarterID,Language,ItemNumber,SID,SPEAKING,WRITING,LISTENING,READING
B782,CHINESE,2249,555000001,2,2,2,2
B782,CHINESE,2249,555000002,1,1,1,1
B782,CHINESE,2249,555000003,2,1,2,1
B782,CHINESE,2249,555000004,1,1,1,1
B782,CHINESE,2249,555000005,3,3,3,3
B782,CHINESE,2249,555000006,1,1,1,1
B782,CHINESE,2249,555000007,1,1,1,1
B782,CHINESE,2249,555000008,2,1,2,1
B782,CHINESE,2249,555000009,2,1,2,1
B782,CHINESE,2249,555000010,2,2,2,1
B782,CHINESE,2249,555000011,3,3,3,3
B782,CHINESE,2249,555000012,3,3,3,3
B782,CHINESE,2249,555000013,1,1,1,1
B782,CHINESE,2249,555000014,2,1,1,1
B782,CHINESE,2249,555000015,1,2,2,2
B782,CHINESE,2249,555000016,1,2,2,2
B782,CHINESE,2249,555000017,,,,
B782,CHINESE,2249,555000018,2,2,2,1
B782,CHINESE,2249,555000019,1,2,2,2
B782,CHINESE,2249,555000020,,,,
B782,CHINESE,2249,555000021,3,3,3,3
B782,CHINESE,2249,555000022,2,2,2,2
B782,FRENCH,4559,555000023,2,2,2,2
B782,FRENCH,4559,555000024,3,3,3,3
B782,FRENCH,4559,555000025,2,3,3,2
B782,FRENCH,4559,555000026,3,2,3,3
B782,FRENCH,4559,555000027,1,2,1,1
B782,FRENCH,4559,555000028,1,2,1,2
B782,FRENCH,4559,555000029,3,2,3,3
B782,FRENCH,4559,555000030,2,2,2,2
B782,FRENCH,4559,555000031,,,,
B782,FRENCH,4559,555000032,1,1,2,2
B782,FRENCH,4559,555000033,2,2,2,2
B782,FRENCH,4559,555000034,2,2,2,2
B782,FRENCH,4559,555000035,2,2,2,2
B782,FRENCH,4559,555000036,2,2,2,2
B782,FRENCH,4559,555000037,1,2,1,2
B782,FRENCH,4559,555000038,1,1,2,2
B782,FRENCH,4559,555000039,1,2,2,1
B782,FRENCH,4559,555000040,2,2,2,2
B782,FRENCH,4559,555000041,2,2,2,2
B782,FRENCH,4559,555000042,1,2,2,2
B782,FRENCH,4559,555000043,1,2,2,2
B782,FRENCH,4559,555000044,1,2,2,1
B782,FRENCH,4563,555000045,,,,
B782,FRENCH,4563,555000046,3,1,2,2
B782,FRENCH,4563,555000047,1,1,1,1
B782,FRENCH,4563,555000048,1,1,1,1
B782,FRENCH,4563,555000049,,,,
B782,FRENCH,4563,555000050,1,1,1,1
B782,FRENCH,4563,555000051,1,1,2,2
B782,FRENCH,4563,555000052,1,2,2,2
B782,FRENCH,4563,555000053,2,2,2,2
B782,FRENCH,4563,555000054,1,1,2,2
B782,FRENCH,4563,555000055,2,2,2,2
B782,FRENCH,4563,555000056,2,2,2,2
B782,FRENCH,4563,555000057,2,3,2,3
B782,FRENCH,4563,555000058,1,2,2,2
B782,FRENCH,4563,555000059,1,2,2,1
B782,FRENCH,4563,555000060,1,2,1,2
B782,FRENCH,4563,555000061,3,3,3,3
B782,FRENCH,4563,555000062,2,2,2,2
B782,GERMAN,4655,555000063,,,,
B782,GERMAN,4655,555000064,2,2,2,2
B782,GERMAN,4655,555000065,,,,
B782,GERMAN,4655,555000066,2,3,2,2
B782,GERMAN,4655,555000067,3,3,3,3
B782,GERMAN,4655,555000068,4,2,3,3
B782,GERMAN,4655,555000069,4,3,4,3
B782,GERMAN,4655,555000070,3,2,2,2
B782,GERMAN,4655,555000071,2,2,2,2
B782,GERMAN,4655,555000072,1,2,2,1
B782,GERMAN,4655,555000073,2,2,3,2
B782,GERMAN,4655,555000074,2,1,2,2
B782,GERMAN,4655,555000075,3,2,3,3
B782,GERMAN,4655,555000076,2,2,2,2
B782,GERMAN,4655,555000077,2,2,2,2
B782,GERMAN,4655,555000078,5,4,5,4
B782,GERMAN,4655,555000079,1,1,2,2
B782,GERMAN,4655,555000080,3,4,3,3
B782,GERMAN,4655,555000081,1,2,2,2
B782,GERMAN,4655,555000082,3,2,3,3
B782,GERMAN,4655,555000083,1,2,2,2
B782,GERMAN,4655,555000084,2,2,3,3
B782,GERMAN,4655,555000085,2,3,3,3
B782,GERMAN,4655,555000086,1,3,2,2
B782,GERMAN,4655,555000087,3,4,3,3
B782,GERMAN,4659,555000088,1,2,3,3
B782,GERMAN,4659,555000089,1,1,1,1
B782,GERMAN,4659,555000090,5,4,4,4
B782,GERMAN,4659,555000091,3,3,3,3
B782,GERMAN,4659,555000092,4,4,4,4
B782,GERMAN,4659,555000093,3,3,3,3
B782,GERMAN,4659,555000094,4,6,5,5
B782,GERMAN,4659,555000095,3,3,3,3
B782,GERMAN,4659,555000096,5,4,5,5
B782,GERMAN,4659,555000097,1,1,1,1
B782,GERMAN,4659,555000098,4,3,4,4
B782,GERMAN,4659,555000099,4,4,4,4
B782,GERMAN,4659,555000100,2,3,2,3
B782,GERMAN,4659,555000101,2,2,2,3
B782,GERMAN,4659,555000102,3,3,3,4
B782,GERMAN,4659,555000103,2,2,3,3
B782,GERMAN,4659,555000104,6,5,7,6
B782,GERMAN,4659,555000105,4,4,4,4
B782,GERMAN,4659,555000106,1,1,1,1
B782,JAPANESE,6151,555000107,1,1,1,1
B782,JAPANESE,6151,555000108,2,2,2,2
B782,JAPANESE,6151,555000109,2,2,2,2
B782,JAPANESE,6151,555000110,2,2,2,2
B782,JAPANESE,6151,555000111,2,2,2,2
B782,JAPANESE,6151,555000112,1,1,1,1
B782,JAPANESE,6151,555000113,2,2,2,2
B782,JAPANESE,6151,555000114,2,2,2,2
B782,JAPANESE,6151,555000115,2,2,2,2
B782,JAPANESE,6151,555000116,3,3,3,3
B782,JAPANESE,6151,555000117,3,3,3,3
B782,JAPANESE,6151,555000118,2,2,2,2
B782,JAPANESE,6151,555000119,3,3,3,3
B782,JAPANESE,6151,555000120,2,2,2,2
B782,JAPANESE,6151,555000121,3,3,3,3
B782,JAPANESE,6151,555000122,2,2,2,2
B782,JAPANESE,6151,555000123,3,3,3,3
B782,JAPANESE,6151,555000124,2,2,2,2
B782,JAPANESE,6151,555000125,3,3,3,3
B782,JAPANESE,6151,555000126,2,3,3,3
B782,JAPANESE,6151,555000127,3,3,3,3
B782,JAPANESE,6151,555000128,2,2,2,2
B782,JAPANESE,6151,555000129,2,2,2,2
B782,JAPANESE,6151,555000130,2,3,2,3
